n,energy
2,0.50000000
3,1.73205081
4,3.67423461
5,6.47469149
6,9.98528137
7,14.45297741
8,19.67528786
9,25.75998653
10,32.71694946
11,40.59640049
12,49.16525306
13,58.85323061
14,69.30636323
15,80.67024411
16,92.91165530
17,106.12081740
18,120.31295960
19,135.50259120
20,150.88156833
21,167.31951550
22,184.71853240
23,203.18731170
24,222.68065020
25,243.21634580
26,264.81423400
27,287.12643500
28,310.49154235
29,335.21553554
30,361.32185060
31,388.58332994
32,417.03964522
33,446.73740266
34,477.62580795
35,509.73602113
36,543.04870188
37,577.60461830
38,613.38600171
39,650.41323389
40,688.75133604
41,693.01344605
42,730.31649983
43,768.74902124
44,808.19532598
45,848.82343949
46,890.58432367
47,933.52285810
48,977.58782046
49,1022.84591460
50,1069.25595300
